RBP	Gene Symbol	Chromesome	Strand	Exon Start	Exon End	Upstream Exon Start	Upstream Exon End	Downstream Exon Start	Downstream Exon End	ΔPSI	Upstream Motif Presence	Exon Motif Presence	Downstream Motif Presence	Upstream CLIP-seq Peak Presence	Exon CLIP-seq Peak Presence	Downstream CLIP-seq Peak Presence
RBM22	PILRB	chr7	+	99951538	99951635	99950832	99950893	99952765	99955638	-0.293	√	√	×	√	√	√
RBM22	FKBP10	chr17	+	39976054	39976275	39975579	39975651	39976520	39976713	-0.293	×	×	√	√	√	√
SF3A3	CPNE1	chr20	-	34220084	34220144	34219866	34219947	34220232	34220307	-0.293	×	×	×	√	×	√
U2AF1	PRPF39	chr14	+	45565798	45565961	45565400	45565431	45566089	45566208	-0.293	×	×	√	√	√	√
U2AF1	PAH	chr12	-	103245464	103245534	103234177	103234293	103246592	103246728	-0.293	√	×	×	√	√	√
U2AF1	WDR11	chr10	+	122665387	122665533	122664830	122664928	122666287	122666367	-0.293	×	√	√	√	√	×
U2AF2	RBM39	chr20	-	34328405	34328519	34326889	34326939	34328745	34328809	-0.293	×	×	×	√	√	√
DDX55	ZNF561	chr19	-	9727757	9727847	9724734	9724779	9728766	9728855	-0.294	×	×	×	×	×	×
LARP4	NUBP2	chr16	+	1836757	1836956	1836537	1836656	1837677	1837832	-0.294	×	√	×	×	×	×
NOL12	NHLRC3	chr13	+	39616295	39616442	39613700	39613848	39618226	39618318	-0.294	×	×	×	×	×	×
QKI	PREPL	chr2	-	44586635	44586889	44573406	44573529	44588518	44588945	-0.294	×	×	√	×	×	√
SRSF1	HNRNPD	chr4	-	83277619	83277836	83275999	83276554	83277948	83278048	-0.294	×	×	√	√	√	×
SRSF9	TMC6	chr17	-	76116733	76116913	76115377	76115473	76117093	76117245	-0.294	√	√	√	×	√	×
U2AF1	IP6K2	chr3	-	48732126	48732274	48730888	48731673	48732522	48732851	-0.294	×	×	×	√	√	×
U2AF2	ARHGEF7	chr13	+	111932618	111932697	111929933	111930020	111932884	111933024	-0.294	×	×	√	×	√	√
AUH	RP11-849H4.2	chr11	-	71634354	71634521	71629969	71630072	71639410	71639483	-0.295	×	×	×	×	×	×
DDX55	PVT1	chr8	+	129060693	129060855	129001462	129001537	129082405	129082518	-0.295	×	×	×	×	×	×
EIF4G2	MRPS28	chr8	-	80940929	80941031	80915233	80915415	80941995	80942147	-0.295	√	×	×	×	×	×
IGF2BP1	PRC1	chr15	-	91512308	91512350	91509694	91509883	91512753	91512853	-0.295	×	×	×	×	×	×
NOL12	CDA	chr1	+	20940334	20940392	20931420	20931532	20944944	20945401	-0.295	×	×	×	×	×	×
RBFOX2	ASGR2	chr17	-	7012054	7012207	7011780	7011876	7017492	7017629	-0.295	×	×	×	×	×	√
SF3A3	SNHG6	chr8	-	67834558	67834627	67834052	67834349	67834848	67834960	-0.295	×	×	×	√	×	√
SRSF1	ZNF468	chr19	-	53357124	53357360	53352339	53352466	53357510	53357598	-0.295	×	√	×	√	√	×
SUGP2	PQLC1	chr18	-	77693968	77694022	77690227	77690311	77703328	77703462	-0.295	×	×	√	√	×	√
U2AF1	LSM14B	chr20	+	60702640	60702757	60701359	60701495	60704840	60705008	-0.295	√	√	×	×	√	√
U2AF1	PARP12	chr7	-	139737514	139737656	139734034	139734131	139741443	139741639	-0.295	√	√	×	√	√	×
U2AF2	SETD5	chr3	+	9476273	9476314	9476017	9476169	9476507	9476566	-0.295	√	×	×	√	√	√
EFTUD2	CLCN6	chr1	+	11888514	11888681	11888162	11888276	11889252	11889379	-0.296	×	×	×	√	√	√
IGF2BP1	TMEM161B-AS1	chr5	+	87705889	87706011	87566342	87566402	87732089	87732419	-0.296	×	×	×	×	×	×
LSM11	PPFIBP1	chr12	+	27829996	27830029	27829360	27829532	27832421	27832572	-0.296	√	×	×	×	×	×
SRSF1	AXIN2	chr17	-	63532986	63533181	63532437	63532671	63533441	63533953	-0.296	×	√	×	√	√	√
SUB1	FANCI	chr15	+	89838187	89838325	89837063	89837228	89843030	89843197	-0.296	×	×	×	×	×	×
U2AF1	MPP1	chrX	-	154012302	154012383	154011701	154011782	154013325	154013432	-0.296	×	×	×	×	√	√
U2AF2	MPP1	chrX	-	154012302	154012383	154011701	154011782	154013325	154013432	-0.296	√	×	×	√	√	√
U2AF2	EIF4B	chr12	+	53421535	53421703	53416276	53416411	53421798	53421972	-0.296	√	×	√	×	√	√
IGF2BP1	ATXN2L	chr16	+	28847731	28847806	28847443	28847497	28848048	28848558	-0.297	×	×	×	√	√	×
IGF2BP2	ITGB1BP1	chr2	-	9560118	9560229	9558754	9558861	9562607	9562695	-0.297	×	√	×	×	×	×
PPIG	PABPC1L	chr20	+	43560982	43561175	43559100	43559367	43561697	43561826	-0.297	×	×	×	√	×	√
RBM22	PILRB	chr7	+	99951517	99951635	99950832	99950893	99952765	99952863	-0.297	√	√	×	√	√	√
RBM22	FKBP10	chr17	+	39976092	39976275	39975506	39975651	39976520	39976713	-0.297	×	×	√	×	√	√
U2AF2	DHRS2	chr14	+	24108387	24108565	24105575	24105981	24112360	24112428	-0.297	×	×	√	×	√	√
DDX55	RBL1	chr20	-	35695635	35695700	35695395	35695524	35696388	35696589	-0.298	×	×	×	×	×	×
DDX55	PPP2R2D	chr10	+	133757471	133757501	133754085	133754198	133757598	133757649	-0.298	×	×	×	×	×	×
LARP4	ZMIZ2	chr7	+	44805565	44805655	44804933	44805178	44805762	44805932	-0.298	√	×	×	×	×	×
NOL12	CPNE1	chr20	-	34246851	34246936	34220716	34220845	34252723	34252759	-0.298	×	×	×	×	×	×
RBM15	TJP2	chr9	+	71865950	71866280	71862927	71863140	71867730	71867816	-0.298	×	√	√	×	√	√
TARDBP	RPS12	chr6	+	133136154	133136363	133135850	133135921	133137599	133137702	-0.298	×	√	√	×	√	√
TARDBP	BCL2L11	chr2	+	111881626	111881716	111881322	111881446	111907620	111907724	-0.298	×	×	√	×	×	√
TIA1	SRSF1	chr17	-	56082758	56082961	56082283	56082402	56083161	56083334	-0.298	√	×	×	√	×	√
U2AF1	TTC31	chr2	+	74717151	74717254	74710448	74710537	74717370	74717600	-0.298	×	×	√	×	√	√
U2AF1	GTPBP10	chr7	+	89984399	89984544	89983841	89983863	90003615	90003668	-0.298	×	×	×	√	√	×
AUH	AGAP5	chr10	-	75440765	75441099	75439828	75439864	75442451	75442527	-0.299	×	×	×	×	×	×
DDX3X	ATP5J	chr21	-	27107299	27107341	27101941	27102112	27107797	27107950	-0.299	√	×	√	×	×	√
IGF2BP2	ALG11	chr13	+	52593048	52593279	52586549	52586598	52602454	52603800	-0.299	×	×	√	×	×	×
LARP4	USP28	chr11	-	113723222	113723355	113712384	113712490	113746166	113746292	-0.299	×	×	×	×	×	×
LARP7	NDUFS8	chr11	+	67799618	67799676	67798083	67798200	67800389	67800479	-0.299	×	×	×	×	×	×
RBFOX2	CTTN	chr11	+	70267575	70267686	70266505	70266616	70269045	70269101	-0.299	√	×	×	√	√	√
TAF15	DHRS2	chr14	+	24108006	24108213	24105575	24105981	24108387	24108565	-0.299	×	×	×	√	√	√
TAF15	DHRS2	chr14	+	24108126	24108213	24105575	24105981	24108387	24108565	-0.299	×	×	×	√	√	√
U2AF1	ORMDL1	chr2	-	190647739	190647849	190647147	190647328	190648994	190649097	-0.299	√	×	×	×	√	√
U2AF1	OAZ1	chr19	+	2271383	2271473	2269513	2269743	2271780	2271953	-0.299	×	√	√	√	√	√
U2AF1	GTPBP10	chr7	+	89984399	89984544	89983841	89983863	90001468	90001542	-0.299	×	×	×	√	√	×
U2AF2	UPF3A	chr13	+	115051776	115051875	115048311	115048418	115051993	115052104	-0.299	×	×	√	×	√	√
DDX55	ARMC8	chr3	+	137907242	137907372	137906183	137906441	137928658	137928735	-0.3	×	×	×	×	×	×
LARP4	DCTD	chr4	-	183837825	183838010	183837571	183837692	183838440	183838498	-0.3	×	×	×	×	×	×
SRSF1	SMC4	chr3	+	160118609	160118753	160117429	160117537	160119702	160119881	-0.3	×	×	√	×	√	√
TARDBP	RPS12	chr6	+	133136156	133136363	133135870	133135921	133137599	133137702	-0.3	×	√	√	×	√	√
AUH	SMAP2	chr1	+	40869355	40869418	40841418	40841488	40872407	40872541	-0.301	×	×	×	×	×	×
EFTUD2	ELMOD3	chr2	+	85582198	85582293	85581875	85581952	85582677	85582839	-0.301	×	×	×	√	×	√
EIF4G2	MEGF8	chr19	+	42862938	42863106	42862295	42862459	42863249	42863394	-0.301	√	√	×	×	×	×
LARP4	TRPT1	chr11	-	63993257	63993341	63992970	63993052	63993521	63993726	-0.301	×	×	×	×	×	×
LARP4	CWF19L1	chr10	-	102019974	102020065	102016018	102016233	102020722	102020785	-0.301	×	×	×	×	×	×
NOL12	SMARCA1	chrX	-	128627016	128627052	128625917	128626070	128630726	128630826	-0.301	×	×	×	×	×	×
CPSF6	MAP4	chr3	-	47957440	47958664	47918906	47919013	47963254	47963368	-0.302	√	√	×	×	√	×
IGF2BP1	ENOSF1	chr18	-	691203	691276	690548	690631	693881	693908	-0.302	√	×	×	×	×	×
SF3A3	CPNE1	chr20	-	34220084	34220135	34219866	34219947	34220232	34220307	-0.302	×	×	×	√	×	√
TARDBP	NARF	chr17	+	80442688	80442862	80441591	80441655	80443372	80443485	-0.302	×	×	×	√	√	√
U2AF2	CEP290	chr12	-	88524321	88524342	88524044	88524197	88530419	88530563	-0.302	×	×	√	√	×	√
U2AF2	SNX25	chr4	+	186272598	186272763	186267690	186267804	186274638	186274756	-0.302	√	√	√	×	√	√
AGGF1	TMPO	chr12	+	98938728	98938839	98931252	98931350	98940136	98940225	-0.303	×	√	×	×	√	×
DDX55	DBR1	chr3	-	137882619	137882700	137882190	137882336	137885922	137886147	-0.303	×	×	×	×	×	×
IGF2BP1	ETV4	chr17	-	41622925	41623036	41622641	41622735	41623552	41623800	-0.303	×	×	√	×	×	×
IGF2BP1	BTBD10	chr11	-	13466570	13466728	13443288	13443385	13484646	13484728	-0.303	×	×	×	×	×	×
LARP4	PDPK1	chr16	+	2588619	2588772	2588021	2588137	2607703	2607964	-0.303	×	×	×	×	×	×
LARP4	PTBP1	chr19	+	805512	805569	805027	805187	806407	806556	-0.303	×	×	×	×	×	×
LARP4	ZNF263	chr16	+	3335058	3335239	3332942	3334205	3336022	3336149	-0.303	×	×	×	×	×	×
LARP7	AD000671.6	chr19	-	36236025	36236113	36235526	36235639	36236248	36236333	-0.303	×	×	×	×	×	×
QKI	PLEKHA1	chr10	+	124187791	124187936	124186457	124186547	124189139	124189638	-0.303	×	×	√	×	√	√
RBM15	OGT	chrX	+	70764399	70764485	70757712	70757922	70767756	70767873	-0.303	×	×	√	×	√	√
TIA1	SRSF1	chr17	-	56082774	56082961	56081948	56082402	56083161	56083334	-0.303	√	×	×	√	×	√
U2AF1	WSB1	chr17	+	25634769	25634945	25633807	25633908	25636125	25636298	-0.303	×	×	√	√	√	√
AUH	SHOX2	chr3	-	157822846	157822918	157820466	157820675	157823467	157823949	-0.304	×	×	×	×	×	×
DDX55	NCOR2	chr12	-	124811954	124812179	124810736	124810916	124815390	124815444	-0.304	×	×	×	×	×	×
EIF4G2	ABCD4	chr14	-	74759856	74759982	74759450	74759572	74761850	74761901	-0.304	×	×	×	×	×	×
HLTF	C1orf63	chr1	-	25570944	25570989	25570040	25570124	25571640	25571792	-0.304	×	√	×	×	√	×
IGF2BP1	AGTRAP	chr1	+	11806068	11806280	11796211	11796292	11807496	11807602	-0.304	×	×	√	×	×	×
NOL12	CCBL2	chr1	-	89453934	89454034	89435091	89435150	89458267	89458431	-0.304	×	×	×	×	×	×
PTBP1	GABRE	chrX	-	151139611	151139789	151138656	151138874	151143041	151143152	-0.304	×	×	√	×	×	√
RBM22	INO80E	chr16	+	30012532	30012851	30012249	30012361	30016541	30016644	-0.304	√	×	×	√	√	√
SRSF1	DONSON	chr21	-	34954470	34954552	34954256	34954361	34956895	34957074	-0.304	×	√	√	×	√	√
U2AF1	DHRS2	chr14	+	24109483	24109640	24105543	24105981	24112360	24112428	-0.304	√	×	×	√	√	×
U2AF1	ERVK3-1	chr19	+	58823531	58823769	58817400	58817582	58826113	58826147	-0.304	×	×	×	√	√	×
DDX55	DLST	chr14	+	75349293	75349327	75348627	75348719	75352288	75352727	-0.305	×	×	×	×	×	×
LARP4	NFRKB	chr11	-	129754880	129754990	129754639	129754741	129755329	129755504	-0.305	×	×	×	×	×	×
LARP7	PQLC1	chr18	-	77679183	77679400	77662419	77664183	77703328	77703462	-0.305	×	×	×	×	×	×
LARP7	NCK2	chr2	+	106497783	106498505	106471503	106471745	106509437	106510728	-0.305	×	×	×	×	×	×
SRSF1	CNPY3	chr6	+	42902212	42902336	42896937	42897459	42903149	42903211	-0.305	√	√	√	×	√	×
U2AF1	CTNND1	chr11	+	57556508	57556627	57529268	57529518	57558856	57559145	-0.305	√	√	×	×	√	√
DDX55	DET1	chr15	-	89055581	89056371	89054789	89054817	89060012	89060204	-0.306	×	×	×	×	×	×
DDX55	MYO9B	chr19	+	17321141	17321189	17320394	17320518	17321523	17321657	-0.306	×	×	×	×	×	×
EFTUD2	AHSG	chr3	+	186336079	186336280	186334975	186335139	186338374	186339107	-0.306	×	×	×	√	×	√
EIF4G2	CCDC136	chr7	+	128454691	128454973	128452761	128452983	128461852	128462179	-0.306	×	×	×	×	×	×
IGF2BP1	LINC00894	chrX	+	149116295	149116393	149114075	149115565	149116523	149116612	-0.306	×	×	×	×	×	×
LARP4	IKZF5	chr10	-	124766541	124766666	124758008	124758187	124768209	124768289	-0.306	×	×	×	×	×	×
LARP4	USP21	chr1	+	161130118	161130296	161129310	161129468	161130409	161130782	-0.306	×	×	×	×	×	×
NOL12	MGRN1	chr16	+	4736259	4736304	4733843	4733933	4738796	4739040	-0.306	×	×	×	×	×	×
NOL12	HDLBP	chr2	-	242208368	242208710	242207891	242207956	242212175	242212235	-0.306	×	×	×	×	×	×
RBM22	RPL10	chrX	+	153628815	153628967	153628143	153628282	153631603	153631838	-0.306	×	×	×	√	×	√
SF3A3	C20orf27	chr20	-	3735035	3735166	3734154	3734805	3736115	3736254	-0.306	×	×	×	√	×	√
U2AF1	ATG9A	chr2	-	220081373	220081554	220081085	220081187	220082391	220082529	-0.306	×	×	√	×	√	√
U2AF2	ABCE1	chr4	+	146042325	146042385	146041083	146041305	146042484	146042543	-0.306	√	×	×	√	√	√
UCHL5	SNHG14	chr15	+	25354095	25354250	25353056	25353185	25354344	25354550	-0.306	×	×	×	×	√	√
AUH	ARL5A	chr2	-	152648271	152648422	152646265	152646396	152659520	152659838	-0.307	×	×	×	×	×	×
EIF4G2	SETMAR	chr3	+	4354581	4354913	4345015	4345210	4355330	4355445	-0.307	×	×	×	×	×	×
GTF2F1	PCGF3	chr4	+	726188	726287	724758	724899	727460	727578	-0.307	√	×	×	√	√	×
HNRNPK	PHKG2	chr16	+	30762869	30762924	30762426	30762580	30764552	30764618	-0.307	√	×	√	√	×	×
HNRNPU	NAB1	chr2	+	191514571	191514708	191513958	191514086	191518452	191518506	-0.307	×	×	×	×	√	√
U2AF1	LARP1	chr5	+	154173359	154173461	154173124	154173283	154173659	154173822	-0.307	×	×	×	√	√	√
AGGF1	MAP4	chr3	-	47957440	47958664	47918906	47919013	47963254	47963368	-0.308	√	√	×	×	√	√
DDX55	ZNF263	chr16	+	3335680	3335754	3333505	3334205	3336022	3336149	-0.308	×	×	×	×	×	×
DDX55	LYRM1	chr16	+	20913807	20914039	20911987	20912211	20926877	20927036	-0.308	×	×	×	×	×	×
FASTKD2	ATG2A	chr11	-	64671061	64671132	64670759	64670836	64673034	64673127	-0.308	×	×	×	×	×	×
HNRNPA1	PEG3	chr19	-	57344657	57344788	57335629	57336109	57347385	57347472	-0.308	×	×	×	√	√	√
HNRNPU	CANT1	chr17	-	76996181	76996352	76993921	76994045	77005745	77005875	-0.308	√	√	√	√	×	×
PPIL4	ATXN2L	chr16	+	28847646	28847811	28847253	28847497	28848048	28848558	-0.308	×	×	×	√	√	√
QKI	PRPF40A	chr2	-	153535569	153535623	153533964	153533989	153535865	153535986	-0.308	×	×	√	×	×	√
SRSF7	SENP5	chr3	+	196654666	196654750	196630403	196630481	196656503	196656554	-0.308	×	×	√	×	√	√
SRSF9	RBCK1	chr20	+	401514	401650	400201	400375	402770	402882	-0.308	×	√	×	×	√	√
EFTUD2	ISYNA1	chr19	-	18547493	18547687	18547139	18547289	18548669	18548921	-0.309	×	×	×	√	×	√
HNRNPU	SMPD4	chr2	-	130918663	130918845	130914823	130914969	130921946	130922018	-0.309	×	×	√	×	√	√
IGF2BP1	RPP14	chr3	+	58296035	58296133	58291988	58292378	58296233	58296318	-0.309	×	×	√	×	×	×
LARP4	ZHX1	chr8	-	124265561	124268411	124260696	124262560	124279512	124279626	-0.309	×	√	×	×	×	×
NOL12	ZNF138	chr7	+	64275295	64275422	64254802	64254949	64291828	64294042	-0.309	×	×	×	×	×	×
QKI	NF2	chr22	+	30079008	30079053	30077427	30077590	30090740	30094583	-0.309	×	×	√	×	×	√
SRSF1	ZNF468	chr19	-	53357124	53357379	53352339	53352466	53357510	53357598	-0.309	×	√	×	√	√	×
TBRG4	AFMID	chr17	+	76201683	76201819	76201520	76201599	76202026	76202131	-0.309	√	×	×	×	×	×
U2AF2	ZNF566	chr19	-	36967450	36967518	36964233	36964360	36980387	36980763	-0.309	√	×	√	√	√	×
DDX55	FAM118A	chr22	+	45723722	45723944	45719086	45719308	45726483	45726612	-0.31	√	×	×	×	×	×
DDX55	NCOR2	chr12	-	124812092	124812179	124810736	124810916	124815390	124815444	-0.31	×	×	×	×	×	×
DDX55	TMEM259	chr19	-	1011094	1011131	1009649	1010894	1011365	1011498	-0.31	×	×	×	√	×	×
HLTF	ERVK3-1	chr19	+	58823562	58823774	58817453	58817582	58826113	58826147	-0.31	×	√	×	√	√	×
HNRNPU	HMGN1	chr21	-	40719304	40719409	40717755	40717884	40720217	40720265	-0.31	×	×	×	√	√	×
PTBP1	SORBS1	chr10	-	97174250	97174619	97170389	97170534	97181717	97181830	-0.31	√	×	√	×	√	√
QKI	TIAF1	chr17	-	27412621	27412666	27409333	27409456	27413455	27413595	-0.31	×	×	√	×	×	√
SRSF1	AP1G2	chr14	-	24035024	24035101	24034814	24034910	24035272	24035369	-0.31	×	×	√	√	√	√
SRSF1	TAF15	chr17	+	34147167	34147243	34147027	34147079	34147335	34147441	-0.31	×	×	×	√	√	√
SRSF1	ZNF765	chr19	+	53905317	53905444	53901195	53901283	53910950	53915260	-0.31	×	√	×	×	√	√
U2AF1	POLR2H	chr3	+	184082753	184082837	184080660	184081353	184082920	184083014	-0.31	√	×	√	×	√	√
U2AF1	FANCL	chr2	-	58390000	58390082	58388656	58388773	58390568	58390652	-0.31	√	×	×	√	√	×
U2AF1	THOC1	chr18	-	225336	225403	225088	225271	226800	226901	-0.31	√	×	×	√	×	√
U2AF2	C20orf96	chr20	-	257443	257520	256608	256727	257684	257786	-0.31	√	×	×	×	√	√
IGF2BP2	MDM1	chr12	-	68719220	68719355	68716852	68717020	68720436	68720801	-0.311	×	×	×	×	×	×
NOL12	WBP1	chr2	+	74686564	74686689	74685958	74686046	74686769	74686872	-0.311	×	×	×	×	×	×
RBFOX2	NAV2	chr11	+	20072834	20072879	20070273	20070741	20075625	20075786	-0.311	×	×	×	×	×	√
SRSF1	FBXO44	chr1	+	11718589	11718685	11718323	11718421	11718792	11718928	-0.311	×	√	×	√	√	×
SUB1	RHOBTB1	chr10	-	62701561	62701612	62671108	62671310	62745602	62745703	-0.311	×	×	×	×	×	×
TBRG4	LINC01033	chr5	+	53697472	53697695	53616773	53616828	53704284	53704351	-0.311	√	×	×	×	×	×
U2AF1	RTKN	chr2	-	74655757	74655864	74654632	74654719	74655974	74656069	-0.311	×	×	×	√	×	√
LSM11	SGSH	chr17	-	78185667	78185749	78184195	78184810	78185869	78186073	-0.312	×	×	×	×	×	×
RBFOX2	LRRFIP2	chr3	-	37132957	37133029	37125126	37125297	37136282	37136399	-0.312	√	×	√	×	×	√
RBFOX2	FOXM1	chr12	-	2974520	2974565	2973848	2973918	2975558	2975687	-0.312	×	×	×	×	×	√
SUB1	RFWD3	chr16	-	74698521	74698643	74694829	74695349	74700683	74700757	-0.312	√	×	×	×	×	×
U2AF1	CTTN	chr11	+	70267575	70267686	70266505	70266616	70269045	70269101	-0.312	×	×	√	√	√	√
U2AF2	LMO7	chr13	+	76412275	76412332	76410532	76410593	76414220	76414246	-0.312	×	×	√	√	√	√
AGGF1	CAPN7	chr3	+	15287032	15287178	15283684	15283760	15288238	15288301	-0.313	√	×	√	×	√	√
DDX55	ZNF655	chr7	+	99159510	99159596	99158155	99158318	99169310	99169415	-0.313	×	×	×	×	×	×
LARP4	CNNM2	chr10	+	104685354	104685442	104678073	104679858	104687101	104687375	-0.313	×	×	×	×	×	×
LARP4	FAHD2B	chr2	-	97757599	97757725	97757198	97757449	97760437	97760576	-0.313	×	×	×	×	×	×
NOL12	TMEM25	chr11	+	118404134	118404266	118403746	118403922	118404571	118404602	-0.313	×	×	×	×	×	×
U2AF1	FANCL	chr2	-	58390163	58390209	58388656	58388773	58390568	58390652	-0.313	×	×	√	×	√	√
U2AF2	RP11-407N17.3	chr14	+	39790131	39790260	39788412	39788495	39796067	39796226	-0.313	×	×	√	×	√	√
DDX55	N4BP2L2	chr13	-	33101544	33101669	33091624	33092140	33109905	33111164	-0.314	×	×	×	×	×	×
NOL12	CDK16	chrX	+	47081659	47081779	47077811	47078063	47082950	47083158	-0.314	×	×	×	×	×	×
U2AF1	EIF4G2	chr11	-	10823207	10823321	10822508	10822634	10823595	10823756	-0.314	√	×	×	×	√	√
U2AF1	WSB1	chr17	+	25634769	25634933	25633807	25633908	25636125	25636298	-0.314	×	×	√	√	√	√
U2AF2	SMCHD1	chr18	+	2722516	2722661	2718312	2718432	2724896	2724993	-0.314	×	√	×	×	√	√
DDX55	EMR2	chr19	-	14866465	14866689	14865765	14865939	14867049	14867157	-0.315	×	×	×	×	×	×
DDX6	DNAJC25	chr9	+	114405136	114405374	114393639	114394023	114409386	114409539	-0.315	×	√	×	×	×	×
IGF2BP2	POMT1	chr9	+	134382754	134382901	134381789	134381840	134384297	134384409	-0.315	×	×	×	×	×	×
LARP4	DEF8	chr16	+	90015824	90016046	90015182	90015222	90020650	90020784	-0.315	×	×	×	×	×	×
NOL12	TMEM106A	chr17	+	41364333	41364413	41363853	41363941	41365039	41365271	-0.315	×	×	×	×	×	×
NOL12	HDLBP	chr2	-	242208615	242208710	242207891	242207956	242212175	242212227	-0.315	×	×	×	×	×	×
NOL12	MPP5	chr14	+	67768688	67768835	67768105	67768183	67769126	67769288	-0.315	×	√	×	×	×	×
PTBP1	TOP3B	chr22	-	22325351	22325433	22322990	22323147	22326248	22326323	-0.315	√	×	√	×	×	√
U2AF1	LARP1	chr5	+	154173359	154173482	154173124	154173283	154173659	154173822	-0.315	×	×	×	√	√	√
U2AF1	ACAA1	chr3	-	38167818	38167832	38167316	38167372	38168000	38168115	-0.315	×	×	×	√	×	√
U2AF1	PITRM1	chr10	-	3190362	3190483	3189763	3189929	3191812	3191945	-0.315	×	×	√	×	√	√
DDX55	NFIX	chr19	+	13186348	13186558	13184719	13184840	13189426	13189549	-0.316	×	×	×	×	×	×
LARP7	TMEM116	chr12	-	112374495	112374634	112371689	112371834	112375964	112376014	-0.316	×	×	×	×	×	×
NKRF	SEMA3F	chr3	+	50212528	50212621	50211663	50211783	50214200	50214294	-0.316	√	×	×	√	×	×
SRSF1	FOXN3	chr14	-	89747293	89747350	89656730	89656793	89817015	89817152	-0.316	×	×	×	×	√	√
U2AF2	PPP5C	chr19	+	46886667	46886733	46879709	46879831	46887036	46887135	-0.316	√	×	×	√	×	√
HNRNPC	BPTF	chr17	+	65871648	65871860	65871035	65871136	65882243	65882432	-0.317	√	×	×	√	√	×
HNRNPU	CP	chr3	-	148902964	148903191	148901252	148901392	148904306	148904519	-0.317	√	×	×	√	√	×
IGF2BP2	IP6K2	chr3	-	48732126	48732274	48730920	48731673	48732522	48732851	-0.317	×	×	√	×	×	×
RBM15	FANCD2	chr3	+	10132019	10132069	10130511	10130634	10133864	10133936	-0.317	×	×	×	√	√	×
SRSF7	LINC00894	chrX	+	149116266	149116393	149114075	149115565	149116523	149116612	-0.317	×	×	×	×	√	√
U2AF1	TFDP1	chr13	+	114291934	114292211	114290848	114291015	114294434	114294625	-0.317	×	×	×	√	√	√
U2AF1	ERVK3-1	chr19	+	58823531	58823774	58817400	58817582	58826113	58826147	-0.317	×	×	×	√	√	×
IGF2BP1	AC093642.5	chr2	+	243058333	243058383	243056789	243056892	243061115	243061208	-0.318	√	×	×	×	×	×
IGF2BP2	CEP350	chr1	+	179972308	179972422	179965687	179966310	179981063	179981210	-0.318	×	×	×	×	×	×
NOL12	ENTPD6	chr20	+	25187157	25187226	25176474	25176503	25187711	25188033	-0.318	×	×	×	×	×	×
SRSF1	HAAO	chr2	-	42996852	42996998	42994999	42995068	42997282	42997722	-0.318	×	√	×	√	√	×
SRSF1	CPNE1	chr20	-	34220084	34220149	34219881	34219947	34220232	34220307	-0.318	×	×	√	√	×	√
U2AF1	TFDP1	chr13	+	114292132	114292199	114290901	114291015	114294434	114294713	-0.318	×	×	×	√	√	√
U2AF1	THOC2	chrX	-	122747249	122747436	122745350	122745367	122747489	122747559	-0.318	√	×	×	√	×	√
U2AF1	THOC2	chrX	-	122747249	122747351	122745350	122745367	122747489	122747559	-0.318	×	×	×	√	×	√
AGGF1	YY1AP1	chr1	-	155650172	155650247	155649199	155649303	155657861	155658032	-0.319	×	√	×	×	√	×
EIF4G2	GS1-179L18.1	chr7	-	53839126	53839300	53833175	53833920	53847638	53847731	-0.319	√	×	×	×	×	×
IGF2BP1	AGBL5	chr2	+	27291915	27291962	27291499	27291612	27292440	27292574	-0.319	×	×	×	×	×	×
IGF2BP2	POC1B	chr12	-	89890815	89891119	89885851	89885892	89918896	89918981	-0.319	×	×	×	×	×	×
LARP4	CENPO	chr2	+	25016720	25016834	25016332	25016389	25022543	25022713	-0.319	×	×	×	×	×	×
QKI	PLEKHA1	chr10	+	124187756	124187832	124186457	124186547	124189139	124191861	-0.319	×	×	√	×	√	√
RBM15	FANCD2	chr3	+	10132021	10132069	10130511	10130634	10133864	10133936	-0.319	×	×	×	√	√	×
SRSF7	LINC00894	chrX	+	149116231	149116393	149114075	149115565	149116523	149116612	-0.319	×	×	×	×	√	√
SUB1	SYNE4	chr19	-	36494509	36494573	36494208	36494422	36496234	36497573	-0.319	×	×	×	×	×	×
U2AF1	THOC2	chrX	-	122747249	122747347	122745350	122745367	122747489	122747559	-0.319	×	×	×	√	×	√
EFTUD2	ENOSF1	chr18	-	691067	691106	690566	690631	693881	693908	-0.32	×	×	×	×	√	√
EIF4G2	JAG2	chr14	-	105617369	105617441	105617201	105617248	105617619	105617733	-0.32	√	×	√	×	×	×
EIF4G2	MRPL48	chr11	+	73528867	73528992	73516071	73516124	73536752	73536841	-0.32	×	×	×	×	×	×
IGF2BP1	TMEM126A	chr11	+	85361355	85361385	85359064	85359133	85365106	85365300	-0.32	×	×	×	×	×	×
LSM11	FAM86A	chr16	-	5141794	5141896	5140432	5140566	5143484	5143565	-0.32	×	√	×	×	×	×
LSM11	AGPAT1	chr6	-	32143590	32143722	32139026	32139282	32144286	32144857	-0.32	×	×	×	×	×	×
PRPF8	TMEM120A	chr7	-	75616855	75616920	75616467	75616746	75617035	75617128	-0.32	√	×	√	√	×	√
SRSF1	ABCD4	chr14	-	74759856	74759982	74759450	74759572	74761850	74761901	-0.32	×	×	×	×	√	√
U2AF2	QARS	chr3	-	49139052	49139138	49138787	49138874	49139260	49139332	-0.32	×	×	×	√	×	√
